lon,lat,club
-0.108431,51.554889,Arsenal
-1.884783,52.509229,Aston_Villa
-1.838664,50.735471,Bournemouth
-0.191111,51.481667,Chelsea
-0.085556,51.398333,Crystal_Palace
-2.966389,53.438889,Everton
-1.142222,52.620278,Leicester_City
-2.960847,53.430838,Liverpool
-2.200278,53.483056,Manchester_City
-2.291389,53.463056,Manchester_United
-1.621667,54.975556,Newcastle_United
1.308653,52.622128,Norwich_City
-1.391111,50.905833,Southampton
-2.175556,52.988333,Stoke_City
-1.388219,54.914427,Sunderland
-3.9346,51.6422,Swansea_City
0.0657,51.6032,Tottenham_Hotspur
-0.4013,51.6499,Watford
-1.964,52.5054,West_Bromwich_Albion
0.0394,51.532,West_Ham_United
